Time,country,eventName,beforeValue,nowValue,expectValue
2000-12-01 17:00,EUR,居民消费价格指数,2.90%,-1,2.40%
2000-12-01 17:00,EUR,工业生产指数 ,1.00%,-1,0.10%
2000-12-01 17:00,EUR,利率决议 ,4.75%,-1,4.75%
2000-12-01 17:00,EUR,零售销售 ,0.30%,-1,0.50%
2000-12-01 17:00,EUR,贸易收支 ,-3.70B,-1,-2.40B
2000-12-01 17:00,EUR,失业率 ,8.50%,-1,8.60%
2000-12-01 20:30,USD,失业率 ,3.90%,-1,3.90%
2000-12-02 01:00,USD,贝克休斯原油钻井设备数量,255,-1,244
2000-12-08 20:30,USD,非农就业人数 ,225K,-1,-15K
2000-12-09 01:00,USD,贝克休斯原油钻井设备数量,242,-1,255
2000-12-15 17:00,EUR,德国Ifo商业景气指数,97,97,97.2
2000-12-16 01:00,USD,贝克休斯原油钻井设备数量,244,-1,242
2000-12-22 01:00,USD,贝克休斯原油钻井设备数量,235,-1,244
2000-12-30 01:00,USD,贝克休斯原油钻井设备数量,234,-1,235
2001-01-01 17:00,USD,商业库存 ,-0.10%,-1,0.60%
2001-01-01 17:00,USD,谘商会消费者信心 ,128.6,-1,132.6
2001-01-01 17:00,USD,芝加哥PMI ,45.3,-1,43.7
2001-01-01 17:00,USD,核心消费价格指数,2.60%,-1,2.60%
2001-01-01 17:00,USD,核心消费价格指数,0.10%,-1,0.30%
2001-01-01 17:00,USD,核心PCE物价指数 ,1.80%,-1,1.90%
2001-01-01 17:00,USD,核心PCE物价指数 ,0.10%,-1,0.20%
2001-01-01 17:00,USD,核心零售销售 ,0.40%,-1,0.20%
2001-01-01 17:00,USD,居民消费价格指数,0.20%,-1,0.20%
2001-01-01 17:00,USD,原油库存 ,-0.72M,-1,1.87M
2001-01-01 17:00,USD,现房销售 ,-4.70%,-1,1.90%
2001-01-01 17:00,USD,成品房销售 ,5.10M,-1,5.35M
2001-01-01 17:00,USD,出口价格指数 ,-0.20%,-1,0.00%
2001-01-01 17:00,USD,工厂订单 ,0.00%,-1,1.10%
2001-01-01 17:00,USD,联邦财政预算 ,32.70B,-1,-23.70B
2001-01-01 17:00,USD,新屋开工 ,1.53M,-1,1.55M
2001-01-01 17:00,USD,新屋开工 ,-1.20%,-1,0.10%
2001-01-01 17:00,USD,进口物价指数 ,-0.70%,-1,0.00%
2001-01-01 17:00,USD,工业生产指数 ,-0.30%,-1,0.00%
2001-01-01 17:00,USD,初请失业金人数 ,347.52K,-1,335.23K
2001-01-01 17:00,USD,ISM制造业就业指数 ,42.7,-1,47.1
2001-01-01 17:00,USD,ISM制造业PMI ,43.9,-1,48.5
